Question,OptionA ,OptionB ,OptionC ,OptionD ,Answer
What is the name of the closest star to Earth besides the Sun? ,Sirius ,Alpha Centauri ,Proxima Centauri ,Betelgeuse ,C
Which planet in our solar system has the most moons? ,Jupiter ,Saturn ,Uranus ,Neptune ,A
What is the name of the largest volcano in our solar system located on Mars? ,Mount Etna ,Mauna Kea ,Olympus Mons ,Mount Vesuvius ,C
Which space mission successfully landed humans on the Moon for the first time? ,Apollo 11 ,Mercury-Atlas 6 ,Voyager 1 ,Mars Pathfinder ,A
What is the term for the point in a planet's orbit around the Sun where it is closest to the star? ,Aphelion ,Perihelion ,Equinox ,Solstice ,B
What is the name of the spacecraft launched by NASA in 2006 to study Pluto and the Kuiper Belt objects? ,Galileo ,Juno ,Cassini ,New Horizons ,D
What is the largest known planet outside our solar system? ,Kepler-22b ,WASP-17b ,HD 209458b ,TrES-4 ,B
Which spacecraft conducted the first flyby of Jupiter and Saturn providing crucial data and images of these gas giants? ,Voyager 1 ,Voyager 2 ,Juno ,Cassini ,A
What is the approximate age of the universe according to current scientific estimates? ,4.6 billion years ,13.8 billion years ,20 billion years ,100 billion years ,B
In which war was The Battle of Fredericksburg fought? ,The War of 1812 ,The American Civil War ,The American Revolutionary War ,The Spanish-American War ,B
Who was the Supreme Commander of the Allied Forces in Europe during World War II? ,George S. Patton ,Winston Churchill ,Douglas MacArthur ,Dwight D. Eisenhower ,D
What was the name of the diplomatic strategy notably pursued by Western democracies toward Nazi Germany before World War II? ,Appeasement ,Deterrence ,Isolationism ,Concession ,A
Who was the notorious American financier convicted of running a Ponzi scheme considered the largest financial fraud in U.S. history? ,Bernie Madoff ,Jordan Belfort ,Kenneth Lay ,Gordon Gekko ,A
Which former chairman of Enron Corporation was convicted of multiple counts of fraud and conspiracy related to the company's collapse? ,Martha Stewart ,Kenneth Lay ,Jeffrey Skilling ,Bernie Ebbers ,B
What infamous American fraudster and stock market manipulator was convicted of numerous offenses related to his investment firm Stratton Oakmont? ,Frank Abagnale ,Charles Ponzi ,Ivan Boesky ,Jordan Belfort ,D
Which American businesswoman was convicted of conspiracy fraud and obstruction of justice related to the collapse of her company Theranos? ,Elizabeth Holmes ,Martha Stewart ,Sherron Watkins ,Leona Helmsley ,A
Who was the American businesswoman convicted of multiple charges related to the collapse of her energy trading company Enron Corporation? ,Michelle Malkin ,Elizabeth Holmes ,Martha Stewart ,Rebecca Mark ,D
Who was the American con artist who posed as an airline pilot doctor and lawyer among other professions in the 1960s and 1970s inspiring the movie 'Catch Me If You Can'? ,Gregor MacGregor ,Victor Lustig ,Frank Abagnale ,Carlos Kaiser ,C
What American mobster known as 'Scarface' was the leader of the Chicago Outfit during the Prohibition era and was eventually convicted of tax evasion in 1931? ,John Gotti ,Lucky Luciano ,Bugsy Siegel ,Al Capone ,D
Which metal has the chemical symbol 'Fe'? ,Zinc ,Copper ,Iron ,Lead ,C
Which planet is the hottest in the solar system? ,Venus ,Saturn ,Mercury ,Neptune ,A
Where is Angel Falls the world's largest waterfall located? ,Argentina ,Bolivia ,Peru ,Venezuela ,D
Emerald is the traditional birthstone associated with which month of the year? ,August ,May ,March ,October ,B
How many of Henry VIII's wives were named Catherine? ,One ,Two ,Three ,Four ,B
Which European country has the longest coastline? ,Italy ,Greece ,Norway ,Croatia ,C
What is the common name for ascorbic acid? ,Vitamin B12 ,Vitamin C ,Vitamin K ,Vitamin D ,B
Which lake is often described as the jewel of the Italian lakes? ,Lake Como ,Lake Orta ,Lake Garda ,Lake Idro ,A
In which English city would you find Penny Lane? ,Manchester ,London ,Bristol ,Liverpool ,D
Which country produces the most coffee in the world? ,Vietnam ,Indonesia ,Brazil ,Colombia ,C
How long is the lifespan of a human red blood cell? ,60 days ,90 days ,120 days ,150 days ,C
Where would you find your pinna? ,Hand ,Foot ,Ear ,Nose ,C
How many bones are there in a human foot? ,24,26,28,30,B
The word 'muscle' comes from a Latin word meaning what? ,Strong ,Bundle ,Little mouse ,Flexor ,C
Which insect holds the record for the fastest flying insect in the world? ,Dragonfly ,Hawk moth ,Housefly ,Bee ,A
What is the name of the small elusive mammal native to Australia that is capable of laying eggs? ,Platypus ,Kangaroo ,Tasmanian devil ,Koala ,A
What is the only species of bear found in the Southern Hemisphere? ,Polar bear ,Brown bear ,Spectacled bear ,Panda bear ,C
Of the three smallest bones in the human body which one is also referred to as the Hammer? ,Incus ,Malleus ,Stapes ,Cochlea ,B
Which type of living organism produces most of the Earth's oxygen? ,Algae ,Moss ,Trees ,Phytoplankton ,D
Entomology is the study of what? ,Blood ,Insects ,Bones ,Soil ,B
Despite their long necks giraffes have the same number of neck vertebrae as humans. How many do they have? ,Five ,Six ,Seven ,Eight ,C
Who invented the first battery? ,Alessandro Volta ,Michael Faraday ,Nikola Tesla ,Thomas Edison ,A
Which mineral is commonly known as 'fool's gold'? ,Quartz ,Pyrite ,Galena ,Calcite ,B
What does TNT stand for? ,Tetranitratetriphosphate ,Tetranitridetetrachloride ,Tetranitrotoluene ,Trinitrotoluene ,D
What was the largest dinosaur ever discovered? ,Tyrannosaurus Rex ,Argentinosaurus ,Stegosaurus ,Velociraptor ,B
What was the name of the dinosaur with a bony club at the end of its tail used for defense? ,Ankylosaurus ,Stegosaurus ,Nodosaurus ,Euoplocephalus ,A
Among dinosaurs which one is popularly referred to as the 'duck-billed dinosaur'? ,Hadrosaurus ,Ankylosaurus ,Parasaurolophus ,Deinonychus ,A
Which dinosaur is believed to have had an elongated narrow skull and rows of sharp teeth suited for catching fish? ,Triceratops ,Ichthyosaurus ,Ankylosaurus ,Velociraptor ,B
How many zeros are there in a googol? ,20,50,100,1000,C
In what century was the first mechanical clock invented? ,1200s ,1300s ,1400s ,1500s ,B
Sonar is a technique used to detect objects underwater. What is it short for? ,Sound Navigation and Ranging ,Silent Navigation and Radar ,Sea Navigation and Radar ,Sea Navigation and Ranging ,A
How long is the Danyang-Kunshan Grand Bridge in China which holds the title of the longest bridge in the world? ,100 kilometers (62 miles) ,145.6 kilometers (90.5 miles) ,164.8 kilometers (102.4 miles) ,200 kilometers (124.3 miles) ,C
What inventor is credited with the discovery of penicillin in 1928? ,Alexander Fleming ,Louis Pasteur ,Marie Curie ,Antoine Lavoisier ,A
What is the element with the highest melting point? ,Titanium ,Tungsten ,Rhenium ,Tantalum ,B
Which element was discovered by Marie Curie and is named after her native country? ,Radium ,Polonium ,Francium ,Curium ,B
Which is the only metal that is a liquid at room temperature? ,Lead ,Gold ,Silver ,Mercury ,D
Neodymium is notably used in the production of what? ,Batteries ,Magnets ,Semiconductors ,Catalysts ,B
Which was the first noble gas to be discovered? ,Helium ,Krypton ,Xenon ,Argon ,D
Where would a 'peruke' be worn? ,Around the neck ,On the head ,Around the waist ,On the wrist ,B
Who composed 'Rhapsody in Blue'? ,Irving Berlin ,George Gershwin ,Aaron Copland ,Cole Porter ,B
The word 'aristocracy' literally means power in the hands of? ,The few ,The best ,The barons ,The rich ,B
In which palace was Queen Elizabeth I born? ,Greenwich ,Richmond ,Hampton Court ,Kensington ,A
From which author's work did scientists take the word 'quark'? ,Lewis Carroll ,Edward Lear ,James Joyce ,Aldous Huxley ,C
Which battles took place between the Royal Houses of York and Lancaster? ,Thirty Years War ,Hundred Years War ,Wars of the Roses ,English Civil War ,C
Which of these islands was ruled by Britain from 1815 until 1864? ,Crete ,Cyprus ,Corsica ,Corfu ,D
What was the primary motivation for the U.S. government to create the Marshall Plan after World War II? ,To assist war-torn nations ,To prevent the spread of communism ,To promote trade ,To encourage immigration ,B
The Missouri Compromise was an agreement concerning which of the following issues? ,Immigration ,Taxation ,Slavery ,Education ,C
Which of the following is considered a major cause of the Great Depression? ,Overproduction of goods ,Decrease in immigration ,Increase in tariffs ,Labor strikes ,A
Which famous Supreme Court case established the principle of 'separate but equal'? ,Plessy v. Ferguson ,Brown v. Board of Education ,Marbury v. Madison ,Dred Scott v. Sandford ,A
Who was the President of the Confederacy during the Civil War? ,Robert E. Lee ,Jefferson Davis ,Ulysses S. Grant ,Abraham Lincoln ,B
Which event marked the official beginning of the Civil War? ,The Battle of Gettysburg ,The attack on Fort Sumter ,The assassination of Lincoln ,The Emancipation Proclamation ,B
What was the main goal of the Lewis and Clark expedition? ,To establish trade routes ,To explore the West ,To find a water route to the Pacific ,To survey Native American tribes ,B
The 'Trail of Tears' refers to the forced relocation of which Native American group? ,Sioux ,Cherokee ,Nez Perce ,Apache ,B
What year did the stock market crash marking the beginning of the Great Depression? ,1929,1931,1933,1927,A
Which European city is split by the Bosphorus Strait separating its European and Asian sectors? ,Budapest ,Warsaw ,Bucharest ,Istanbul ,D
What city holds the title of the oldest continuously inhabited city globally? ,Athens ,Jerusalem ,Cairo ,Damascus ,D
Which Asian city earns the moniker 'City of Temples' due to its plethora of ancient temples and pagodas? ,Bagan ,Kyoto ,Bangkok ,Siem Reap ,A
Which bird species is known for its ability to mimic chainsaws and other mechanical sounds? ,Mockingbird ,Lyrebird ,Parrot ,Starling ,B
What is the only species of bear found in the Southern Hemisphere? ,Polar bear ,Brown bear ,Spectacled bear ,Panda bear ,C
Which animal has the most complex eyesight in the animal kingdom? ,Mantis shrimp ,Eagle ,Owl ,Cuttlefish ,A
What is the name of the largest living species of turtle known for its distinctive ridged shell and often found in tropical and subtropical oceans? ,Loggerhead turtle ,Leatherback sea turtle ,Green sea turtle ,Hawksbill turtle ,B
Which creature holds the record for the longest migration journey of any animal? ,Sockeye salmon ,Monarch butterfly ,Humpback whale ,Arctic tern ,D
What city holds the record for the highest altitude among the world's capital cities? ,La Paz ,Kathmandu ,Quito ,Bogot  ,A
Which city is often referred to as the 'Pearl of the Adriatic' for its stunning coastline and medieval architecture? ,Athens ,Dubrovnik ,Trieste ,Venice ,B
What is the capital city of Kazakhstan known for its modern skyline cultural landmarks and Eurasian heritage? ,Almaty ,Bishkek ,Astana ,Tashkent ,C
What British inventor is credited for developing the concept of the world's first programmable computer the Analytical Engine in the 1830s? ,Alan Turing ,Ada Lovelace ,Charles Babbage ,John von Neumann ,C
Who invented the first mass-produced practical sewing machine in 1846 revolutionizing the textile industry? ,Isaac Singer ,Elias Howe ,Walter Hunt ,Barthelemy Thimonnier ,B
What French chemist and microbiologist is credited with a namesake discovery that revolutionized food preservation? ,Louis Pasteur ,Alexander Fleming ,Marie Curie ,Antoine Lavoisier ,A
Known for her pioneering research on radioactivity who was the first woman to win a Nobel Prize? ,Stephanie Kwolek ,Rosalind Franklin ,Marie Curie ,Ada Lovelace ,C
What Austrian neurologist is credited with inventing psychoanalysis a clinical method for treating psychopathology through dialogue between a patient and a psychoanalyst? ,Alfred Adler ,Carl Jung ,Wilhelm Reich ,Sigmund Freud ,D
In which century did the Hundred Years' War take place? ,14th century ,17th century ,18th century ,19th century ,A
Which two ancient civilizations fought in the Punic Wars? ,Rome and Persia ,Rome and Sparta ,Rome and Carthage ,Sparta and Athens ,C
Which battle marked the final defeat of Napoleon Bonaparte in 1815? ,The Battle of Austerlitz ,The Battle of Borodino ,The Battle of Trafalgar ,The Battle of Waterloo ,D
Who was the Roman general responsible for the conquest of Gaul and later became dictator of Rome? ,Augustus Caesar ,Marcus Aurelius ,Mark Antony ,Julius Caesar ,D
Whose assassination was said to spark World War I? ,Archduke Maximilian ,Kaiser Wilhelm II ,Emperor Charles I of Austria ,Archduke Franz Ferdinand ,D
Name the two countries that fought against each other in The Falklands War. ,United Kingdom & Argentina,Brazil & Chile ,Argentina & Chile ,Chile & United Kingdom ,A
In what decade was The Six-Day War fought? ,1950s ,1960s ,1970s ,1980s ,B
Who was the mastermind behind the largest insider trading scandal in U.S. history involving illegal activities at the hedge fund SAC Capital Advisors? ,Michael Milken ,Bernard Madoff ,Raj Rajaratnam ,Steven Cohen ,D
What former CEO of WorldCom was convicted of orchestrating one of the largest accounting frauds in U.S. history resulting in the company's bankruptcy? ,Richard Scrushy ,Bernard Ebbers ,Jeff Skilling ,Andrew Fastow ,B
Who was the mastermind behind the largest insider trading scandal in U.S. history involving illegal activities at the hedge fund SAC Capital Advisors? ,Michael Milken ,Bernard Madoff ,Raj Rajaratnam ,Steven Cohen ,D
In 1971 a group of thieves tunneled into the headquarters of the Lloyds Bank in London's Marylebone district and stole valuables worth millions of pounds. What was the nickname given to this notorious heist? ,The Hatton Garden Heist ,The Baker Street Robbery ,The Lufthansa Heist ,The Brink's-Mat Robbery ,B
Brights' disease affects which organs of the body? ,Kidneys ,Ovaries ,Lungs ,Testicles ,A
What is a group of crows called? ,An asylum ,A mischief ,A spiral ,A murder ,D
How many countries are present in Africa? ,54,57,43,39,A
Which gas features predominantly in the Earth's atmosphere making up roughly 78% of dry air? ,Nitrogen ,Methane ,Argon ,Hydrogen ,A
What is the biggest state by land mass in America? ,California ,Alaska ,Texas ,Florida ,B
Which English king was killed in battle on Bosworth Field in 1485? ,King George I ,King Edward IV ,King Henry VII ,King Richard III ,D
What was the name of the Greek god of war? ,Apollo ,Zeus ,Hermes ,Ares ,D
In which part of your body would you find the cruciate ligament? ,Elbow ,Foot ,Knee ,Hand ,C
And in which year was Joan of Arc burned at the stake? ,1429,1431,1435,1438,B
What is the longest type of cell in the body? ,Muscle cell ,Skin cell ,Nerve Cell ,Red blood cell ,C
Which animal possesses the largest brain relative to its body size? ,Elephant ,Sperm whale ,Dolphin ,Gorilla ,B
In what year was the structure of DNA discovered? ,1945,1953,1961,1970,B
What is the term for the temperature and pressure at which water ice and steam coexist in equilibrium? ,Sublimation point ,Condensation point ,Critical point ,Triple point ,D
Which element symbol 'Sb' is used in flame retardants and semiconductors and is derived from the Latin 'stibium'? ,Arsenic ,Antimony ,Tellurium ,Bismuth ,B
What comet last spotted in 1986 is visible from Earth once every 75 or 76 years? ,Halley's Comet ,Comet Shoemaker-Levy 9 ,Hale-Bopp ,Encke's Comet ,A
At what temperature does salt water typically boil? ,98 Celcius (208 Farehnheit) ,105 Celcius (221 Fareihnheit) ,102 Celcius (216 Fareihnheit) ,110 Celcius (230 Fareihnheit) ,C
From which animal droppings can Saltpeter a key ingredient in gunpowder be extracted? ,Horse ,Rat ,Bat ,Camel ,C
What does LHC the world's largest machine stand for? ,Linear High Collider ,Large Hadron Collider ,Large Hyper Collider ,Linear Hadron Collider ,B
In what year was the first satellite put into orbit? ,1955,1957,1959,1961,B
What is the name of the scale used to measure the hardness of minerals? ,Richter scale ,Mohs scale ,Beaufort scale ,Scoville scale ,B
Which mineral is the primary source of aluminum? ,Hematite ,Bauxite ,Galena ,Sphalerite ,B
Olivine is the most common mineral in which layer of the Earth? ,Crust ,Mantle ,Outer Core ,Inner Core ,B
Which mineral is known for its fluorescence under ultraviolet light and is often used in making fluorescent lamps? ,Fluorite ,Calcite ,Barite ,Sphalerite ,A
What is the official birthstone for the month of April? ,Emerald ,Sapphire ,Ruby ,Diamond ,D
What is the common name for the volcanic glass formed from the rapid cooling of lava without crystal growth? ,Pumice ,Obsidian ,Tuff ,Basalt ,B
Name the company that introduced the first commercially available lithium-ion battery in 1991. ,Panasonic ,Sony ,Duracell ,Energizer ,B
What is the name of the largest volcano in our solar system located on Mars? ,Mount Etna ,Mauna Kea ,Olympus Mons ,Mount Vesuvius ,C
What is the term for the point in a planet's orbit around the Sun where it is closest to the star? ,Aphelion ,Perihelion ,Equinox ,Solstice ,B
In the movie 'Deep Impact' what was the name of the meteor headed towards Earth? ,Messiah ,Wolf-Biederman ,Jensen-Bisach ,Smith-Johnson ,B
